"interaction","name","selected","shared interaction","shared name"
"interacts with","BRCA2 (interacts with)  RAD23A","false","interacts with","BRCA2 (interacts with)  RAD23A"
"interacts with","BRCA2 (interacts with)  FHIP1B","false","interacts with","BRCA2 (interacts with)  FHIP1B"
"interacts with","BRCA2 (interacts with)  HSP90AA1","false","interacts with","BRCA2 (interacts with)  HSP90AA1"
"interacts with","BRCA2 (interacts with)  KRT2","false","interacts with","BRCA2 (interacts with)  KRT2"
"interacts with","BRCA2 (interacts with)  RABL2A","false","interacts with","BRCA2 (interacts with)  RABL2A"
"interacts with","BRCA2 (interacts with)  HMG20B","false","interacts with","BRCA2 (interacts with)  HMG20B"
"interacts with","BRCA2 (interacts with)  CFAP184","false","interacts with","BRCA2 (interacts with)  CFAP184"
"interacts with","BRCA2 (interacts with)  DSN1","false","interacts with","BRCA2 (interacts with)  DSN1"
"interacts with","BRCA2 (interacts with)  HSPB8","false","interacts with","BRCA2 (interacts with)  HSPB8"
"interacts with","BRCA2 (interacts with)  TRIM52","false","interacts with","BRCA2 (interacts with)  TRIM52"
"interacts with","BRCA2 (interacts with)  C6orf141","false","interacts with","BRCA2 (interacts with)  C6orf141"
"interacts with","BRCA2 (interacts with)  L3MBTL1","false","interacts with","BRCA2 (interacts with)  L3MBTL1"
"interacts with","BRCA2 (interacts with)  RAD21","false","interacts with","BRCA2 (interacts with)  RAD21"
"interacts with","BRCA2 (interacts with)  DNAJC7","false","interacts with","BRCA2 (interacts with)  DNAJC7"
"interacts with","BRCA2 (interacts with)  NCL","false","interacts with","BRCA2 (interacts with)  NCL"
"interacts with","BRCA2 (interacts with)  KATNAL2","false","interacts with","BRCA2 (interacts with)  KATNAL2"
"interacts with","BRCA2 (interacts with)  BRCA1","false","interacts with","BRCA2 (interacts with)  BRCA1"
"interacts with","BRCA2 (interacts with)  UPP1","false","interacts with","BRCA2 (interacts with)  UPP1"
"interacts with","BRCA2 (interacts with)  XPO1","false","interacts with","BRCA2 (interacts with)  XPO1"
"interacts with","BRCA2 (interacts with)  EEF1AKMT2","false","interacts with","BRCA2 (interacts with)  EEF1AKMT2"
"interacts with","BRCA2 (interacts with)  MORF4L1","false","interacts with","BRCA2 (interacts with)  MORF4L1"
"interacts with","BRCA2 (interacts with)  GOLGA6L2","false","interacts with","BRCA2 (interacts with)  GOLGA6L2"
"interacts with","BRCA2 (interacts with)  NEURL4","false","interacts with","BRCA2 (interacts with)  NEURL4"
"interacts with","BRCA2 (interacts with)  MAP1LC3B","false","interacts with","BRCA2 (interacts with)  MAP1LC3B"
"interacts with","BRCA2 (interacts with)  PDS5B","false","interacts with","BRCA2 (interacts with)  PDS5B"
"interacts with","BRCA2 (interacts with)  PALB2","false","interacts with","BRCA2 (interacts with)  PALB2"
"interacts with","BRCA2 (interacts with)  FANCD2","false","interacts with","BRCA2 (interacts with)  FANCD2"
"interacts with","BRCA2 (interacts with)  CNKSR1","false","interacts with","BRCA2 (interacts with)  CNKSR1"
"interacts with","BRCA2 (interacts with)  POLH","false","interacts with","BRCA2 (interacts with)  POLH"
"interacts with","BRCA2 (interacts with)  Prdm16","false","interacts with","BRCA2 (interacts with)  Prdm16"
"interacts with","BRCA2 (interacts with)  CDC45","false","interacts with","BRCA2 (interacts with)  CDC45"
"interacts with","BRCA2 (interacts with)  CRYL1","false","interacts with","BRCA2 (interacts with)  CRYL1"
"interacts with","BRCA2 (interacts with)  TRMT1","false","interacts with","BRCA2 (interacts with)  TRMT1"
"interacts with","BRCA2 (interacts with)  SOX2","false","interacts with","BRCA2 (interacts with)  SOX2"
"interacts with","BRCA2 (interacts with)  HSP90AB1","false","interacts with","BRCA2 (interacts with)  HSP90AB1"
"interacts with","BRCA2 (interacts with)  MAGEA9","false","interacts with","BRCA2 (interacts with)  MAGEA9"
"interacts with","BRCA2 (interacts with)  RAD51","false","interacts with","BRCA2 (interacts with)  RAD51"
"interacts with","BRCA2 (interacts with)  AGGF1","false","interacts with","BRCA2 (interacts with)  AGGF1"
"interacts with","BRCA2 (interacts with)  KLHL40","false","interacts with","BRCA2 (interacts with)  KLHL40"
"interacts with","BRCA2 (interacts with)  NAA11","false","interacts with","BRCA2 (interacts with)  NAA11"
"interacts with","BRCA2 (interacts with)  ZRANB2","false","interacts with","BRCA2 (interacts with)  ZRANB2"
"interacts with","BRCA2 (interacts with)  TSGA10IP","false","interacts with","BRCA2 (interacts with)  TSGA10IP"
"interacts with","BRCA2 (interacts with)  EGLN3","false","interacts with","BRCA2 (interacts with)  EGLN3"
"interacts with","BRCA2 (interacts with)  HSPA4","false","interacts with","BRCA2 (interacts with)  HSPA4"
"interacts with","BRCA2 (interacts with)  PRELID2","false","interacts with","BRCA2 (interacts with)  PRELID2"
"interacts with","BRCA2 (interacts with)  HSF2BP","false","interacts with","BRCA2 (interacts with)  HSF2BP"
"interacts with","BRCA2 (interacts with)  PTGES3","false","interacts with","BRCA2 (interacts with)  PTGES3"
"interacts with","BRCA2 (interacts with)  Mecom","false","interacts with","BRCA2 (interacts with)  Mecom"
"interacts with","BRCA2 (interacts with)  CCT8L2","false","interacts with","BRCA2 (interacts with)  CCT8L2"
"interacts with","BRCA2 (interacts with)  MLF1","false","interacts with","BRCA2 (interacts with)  MLF1"
"interacts with","BRCA2 (interacts with)  NSMCE4A","false","interacts with","BRCA2 (interacts with)  NSMCE4A"
"interacts with","BRCA2 (interacts with)  DUSP16","false","interacts with","BRCA2 (interacts with)  DUSP16"
"interacts with","BRCA2 (interacts with)  FYN","false","interacts with","BRCA2 (interacts with)  FYN"
"interacts with","BRCA2 (interacts with)  SMC3","false","interacts with","BRCA2 (interacts with)  SMC3"
"interacts with","BRCA2 (interacts with)  FXR2","false","interacts with","BRCA2 (interacts with)  FXR2"
"interacts with","BRCA2 (interacts with)  DPPA3","false","interacts with","BRCA2 (interacts with)  DPPA3"
"interacts with","BRCA2 (interacts with)  SNX32","false","interacts with","BRCA2 (interacts with)  SNX32"
"interacts with","BRCA2 (interacts with)  RPA1","false","interacts with","BRCA2 (interacts with)  RPA1"
"interacts with","BRCA2 (interacts with)  NCAPH2","false","interacts with","BRCA2 (interacts with)  NCAPH2"
"interacts with","BRCA2 (interacts with)  USP11","false","interacts with","BRCA2 (interacts with)  USP11"
"interacts with","BRCA2 (interacts with)  PPP4R1L","false","interacts with","BRCA2 (interacts with)  PPP4R1L"
"interacts with","BRCA2 (interacts with)  MAPK6","false","interacts with","BRCA2 (interacts with)  MAPK6"
"interacts with","BRCA2 (interacts with)  SPANXA1","false","interacts with","BRCA2 (interacts with)  SPANXA1"
"interacts with","BRCA2 (interacts with)  SYCP3","false","interacts with","BRCA2 (interacts with)  SYCP3"
"interacts with","BRCA2 (interacts with)  MTA2","false","interacts with","BRCA2 (interacts with)  MTA2"
"interacts with","BRCA2 (interacts with)  PCNA","false","interacts with","BRCA2 (interacts with)  PCNA"
"interacts with","BRCA2 (interacts with)  nan","false","interacts with","BRCA2 (interacts with)  nan"
"interacts with","BRCA2 (interacts with)  RFXANK","false","interacts with","BRCA2 (interacts with)  RFXANK"
"interacts with","BRCA2 (interacts with)  PPM1E","false","interacts with","BRCA2 (interacts with)  PPM1E"
"interacts with","BRCA2 (interacts with)  TP53","false","interacts with","BRCA2 (interacts with)  TP53"
"interacts with","BRCA2 (interacts with)  RAD51C","false","interacts with","BRCA2 (interacts with)  RAD51C"
"interacts with","BRCA2 (interacts with)  MORF4L2","false","interacts with","BRCA2 (interacts with)  MORF4L2"
"interacts with","BRCA2 (interacts with)  GRB2","false","interacts with","BRCA2 (interacts with)  GRB2"
"interacts with","BRCA2 (interacts with)  BORCS8","false","interacts with","BRCA2 (interacts with)  BORCS8"
"interacts with","BRCA2 (interacts with)  SAXO5","false","interacts with","BRCA2 (interacts with)  SAXO5"
"interacts with","BRCA2 (interacts with)  RPA2","false","interacts with","BRCA2 (interacts with)  RPA2"
"interacts with","BRCA2 (interacts with)  SEM1","false","interacts with","BRCA2 (interacts with)  SEM1"
"interacts with","BRCA2 (interacts with)  PB2","false","interacts with","BRCA2 (interacts with)  PB2"
"interacts with","BRCA2 (interacts with)  DMC1","false","interacts with","BRCA2 (interacts with)  DMC1"
"interacts with","BRCA2 (interacts with)  SBDS","false","interacts with","BRCA2 (interacts with)  SBDS"
"interacts with","BRCA2 (interacts with)  TP53BP1","false","interacts with","BRCA2 (interacts with)  TP53BP1"
"interacts with","BRCA2 (interacts with)  CTTN","false","interacts with","BRCA2 (interacts with)  CTTN"
"interacts with","BRCA2 (interacts with)  PPIL4","false","interacts with","BRCA2 (interacts with)  PPIL4"
"interacts with","BRCA2 (interacts with)  GPKOW","false","interacts with","BRCA2 (interacts with)  GPKOW"
"interacts with","BRCA2 (interacts with)  ABL1","false","interacts with","BRCA2 (interacts with)  ABL1"
"interacts with","BRCA2 (interacts with)  PNMA6A","false","interacts with","BRCA2 (interacts with)  PNMA6A"
"interacts with","BRCA2 (interacts with)  BAG4","false","interacts with","BRCA2 (interacts with)  BAG4"
"interacts with","BRCA2 (interacts with)  KRT38","false","interacts with","BRCA2 (interacts with)  KRT38"
"interacts with","BRCA2 (interacts with)  AARSD1","false","interacts with","BRCA2 (interacts with)  AARSD1"
"interacts with","BRCA2 (interacts with)  CCND1","false","interacts with","BRCA2 (interacts with)  CCND1"
"interacts with","BRCA2 (interacts with)  KRT78","false","interacts with","BRCA2 (interacts with)  KRT78"
"interacts with","BRCA2 (interacts with)  SNX6","false","interacts with","BRCA2 (interacts with)  SNX6"
"interacts with","BRCA2 (interacts with)  MDC1","false","interacts with","BRCA2 (interacts with)  MDC1"
"interacts with","BRCA2 (interacts with)  XRCC3","false","interacts with","BRCA2 (interacts with)  XRCC3"
"interacts with","BARD1 (interacts with)  TRAF1","false","interacts with","BARD1 (interacts with)  TRAF1"
"interacts with","BARD1 (interacts with)  PTN","false","interacts with","BARD1 (interacts with)  PTN"
"interacts with","BARD1 (interacts with)  UBE2U","false","interacts with","BARD1 (interacts with)  UBE2U"
"interacts with","BARD1 (interacts with)  CCDC85A","false","interacts with","BARD1 (interacts with)  CCDC85A"
"interacts with","BARD1 (interacts with)  H3C1","false","interacts with","BARD1 (interacts with)  H3C1"
"interacts with","BARD1 (interacts with)  AXIN2","false","interacts with","BARD1 (interacts with)  AXIN2"
"interacts with","BARD1 (interacts with)  FEZ1","false","interacts with","BARD1 (interacts with)  FEZ1"
"interacts with","BARD1 (interacts with)  KAT7","false","interacts with","BARD1 (interacts with)  KAT7"
"interacts with","BARD1 (interacts with)  LDOC1","false","interacts with","BARD1 (interacts with)  LDOC1"
"interacts with","BARD1 (interacts with)  FAM9B","false","interacts with","BARD1 (interacts with)  FAM9B"
"interacts with","BARD1 (interacts with)  CSTF1","false","interacts with","BARD1 (interacts with)  CSTF1"
